trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
316,17658,2026-01-14 17:34:38.488537,2026-01-14 17:34:38.488537,0.0,1.6050785887341112,2.831136284596679,2.652863225221352,10.0,38.0,0.0001,0.3882811659042856,-1.5651096248616923,-20.715890675372226,-22.055339540053176,0.3687315634218289,339,,,,,,
317,17659,2026-01-14 17:34:38.640054,2026-01-14 17:34:38.640054,0.0,2.1382882068451163,4.757548193983537,2.2989140084985573,8.0,46.0,0.0001,0.3882811659042856,-2.5570055963843386,-24.56178858553007,-26.955252175038268,0.38328530259365995,347,,,,,,
318,17660,2026-01-14 17:34:38.705440,2026-01-14 17:34:38.705440,0.0,2.3100151504764064,3.4923032473858533,3.321889766305018,7.0,49.0,0.0001,0.3882811659042856,-1.997156862642766,-29.63867678657644,-33.63824590876242,0.3288409703504043,371,,,,,,
319,17661,2026-01-14 17:34:38.806683,2026-01-14 17:34:38.806683,0.0,1.4601189170749613,3.293357085722085,3.617529414589268,14.0,24.0,0.0001,0.3882811659042856,-1.3322534323810045,-16.4373700114307,-20.771244619290506,0.38699690402476783,323,,,,,,
320,17662,2026-01-14 17:34:38.905901,2026-01-14 17:34:38.905901,0.0,1.8422297593958172,2.6843134132509245,2.468451631352423,11.0,21.0,0.0001,0.3882811659042856,-0.5095207578232077,-9.28836449741751,-22.094654220833565,0.4020356234096692,393,,,,,,
321,17663,2026-01-14 17:34:39.421651,2026-01-14 17:34:39.421651,0.0,1.0005431529622892,4.266706152713777,3.580255475132854,14.0,25.0,0.0001,0.3882811659042856,-1.9911465494475282,-12.853914417112634,-14.695763390429972,0.3801916932907348,313,,,,,,
322,17664,2026-01-14 17:34:39.696492,2026-01-14 17:34:39.696492,0.0,1.9484954678104514,2.712420311882338,3.016525350113887,17.0,44.0,0.0001,0.3882811659042856,-1.848138352303743,-24.88670859666452,-26.615832309866295,0.379746835443038,237,,,,,,
323,17665,2026-01-14 17:34:39.744834,2026-01-14 17:34:39.744834,0.0,1.4026713711589733,3.107666670862768,3.501812765457103,9.0,36.0,0.0001,0.3882811659042856,-2.52489506789291,-27.775275303420603,-29.676674428236737,0.32075471698113206,371,,,,,,
324,17666,2026-01-14 17:34:39.816716,2026-01-14 17:34:39.816716,0.0,2.7587793184651535,4.270718920685894,3.853977427385288,9.0,33.0,0.0001,0.3882811659042856,-2.4535081621979122,-35.08329134510113,-36.43485803412152,0.329923273657289,391,,,,,,
325,17667,2026-01-14 17:34:39.844179,2026-01-14 17:34:39.844179,0.0,2.0999702172145396,3.744398300049123,3.39225901961965,11.0,29.0,0.0001,0.3882811659042856,-2.434457712619064,-31.901772884727954,-34.15107361172783,0.35492957746478876,355,,,,,,
326,17668,2026-01-14 17:34:39.908110,2026-01-14 17:34:39.908110,0.0,2.579925002073928,3.329912597725489,3.603532310615403,17.0,36.0,0.0001,0.3882811659042856,-1.627406170065521,-27.032252230380944,-31.69733266726543,0.36398467432950193,261,,,,,,
327,17669,2026-01-14 17:34:40.137456,2026-01-14 17:34:40.137456,0.0,2.2739812595344073,2.414055239238363,2.158612055933183,19.0,49.0,0.0001,0.3882811659042856,-2.052402885436423,-24.684886367840026,-25.453443262262233,0.4212962962962963,216,,,,,,
328,17670,2026-01-14 17:34:40.517831,2026-01-14 17:34:40.517831,0.0,1.2530980127032392,2.6572250890315545,1.771782288382878,11.0,50.0,0.0001,0.3882811659042856,-3.4030509713311345,-27.961523074966298,-28.510566173615402,0.43812709030100333,299,,,,,,
329,17671,2026-01-14 17:34:40.786631,2026-01-14 17:34:40.786631,0.0,2.10892318128494,4.741027791988688,1.8750841869321861,16.0,25.0,0.0001,0.3882811659042856,-1.6704477157404276,-16.4519382943213,-21.95254096457362,0.4900662251655629,302,,,,,,
330,17672,2026-01-14 17:34:40.868225,2026-01-14 17:34:40.868225,0.0,2.506733727080968,3.1144362136028088,2.357360236610247,8.0,29.0,0.0001,0.3882811659042856,-2.3132557903763287,-32.39082177046277,-33.66529539105546,0.37349397590361444,415,,,,,,
331,17673,2026-01-14 17:34:40.923978,2026-01-14 17:34:40.923978,0.0,2.687838643030366,2.2216399509470253,4.065317661100687,9.0,43.0,0.14895959605207035,0.3882811659042856,0.31927777828638687,2.4124169581943806,-28.189692033916046,0.3402985074626866,335,-2.2707701891621874,-14.262825517462508,-21.57423446540071,0.3333333333333333,168,811.2208689717654
